question_text,option_a,option_b,option_c,correct_answer,difficulty
"How long is an NBA quarter?","10 minutes","12 minutes","15 minutes","B","medium"
"Which player has won the most NBA MVP awards?","Michael Jordan","Kareem Abdul-Jabbar","LeBron James","B","medium"
"How many Grand Slam tournaments are there?","3","4","5","B","medium"
"Who has won the most Grand Slam titles in men's tennis?","Rafael Nadal","Novak Djokovic","Roger Federer","B","medium"
"What surface is Wimbledon played on?","Clay","Grass","Hard court","B","medium"
"Which Grand Slam is played on clay?","US Open","French Open","Australian Open","B","medium"
"What is a 'love' in tennis scoring?","15 points","Zero points","30 points","B","medium"
"Who is known as 'The King of Clay'?","Roger Federer","Rafael Nadal","Novak Djokovic","B","medium"
"How many sets are needed to win a men's Grand Slam match?","2","3","4","B","medium"
"What is a 'deuce' in tennis?","40-40","30-30","15-15","A","medium"
"Where is the Australian Open held?","Sydney","Melbourne","Brisbane","B","medium"
"Which female player has the most Grand Slam titles all-time?","Serena Williams","Margaret Court","Steffi Graf","B","medium"
"How many players are on a cricket team?","10","11","12","B","medium"
"What is a 'century' in cricket?","50 runs","100 runs","150 runs","B","medium"
"How many balls are in a cricket over?","5","6","8","B","medium"
"Which country won the 2023 Cricket World Cup?","India","Australia","England","B","medium"
"What is a 'duck' in cricket?","A type of delivery","Getting out for zero","A fielding position","B","medium"
"What does LBW stand for?","Leg Before Wicket","Left Bowler Wins","Long Ball Wide","A","medium"
"Who is known as 'The Little Master' in cricket?","Sachin Tendulkar","Brian Lara","Virat Kohli","A","medium"
"What is the Ashes series between?","England vs India","England vs Australia","Australia vs India","B","medium"
"What is the highest individual score in Test cricket?","334","400","501","B","medium"
"Who holds the record for highest Test score?","Don Bradman","Brian Lara","Matthew Hayden","B","medium"
"Who is the fastest man in history?","Usain Bolt","Carl Lewis","Tyson Gay","A","medium"
"What is the 100m world record?","9.48 seconds","9.58 seconds","9.69 seconds","B","medium"
"How long is a marathon race?","40 km","42.195 km","45 km","B","medium"
"Which country does Usain Bolt represent?","USA","Jamaica","Trinidad","B","medium"
"What is the decathlon?","5 events","10 events","15 events","B","medium"
"Who holds the women's 100m world record?","Shelly-Ann Fraser-Pryce","Florence Griffith-Joyner","Elaine Thompson","B","medium"
"How many hurdles are in a 110m hurdles race?","8","10","12","B","medium"
"What is the pole vault?","Running event","Jumping over bar with pole","Throwing event","B","medium"
"What is the triple jump?","Three running jumps","Hop, step and jump","High jump variation","B","medium"
"How many runners in a 4x100m relay team?","3","4","5","B","medium"
"Who is considered the greatest boxer of all time?","Mike Tyson","Muhammad Ali","Floyd Mayweather","B","medium"
"What was Muhammad Ali's birth name?","Cassius Clay","Michael Clay","Robert Clay","A","medium"
"Who is known as 'Iron Mike'?","Mike Tyson","Mike Powell","Michael Spinks","A","medium"
"What is a 'TKO' in boxing?","Total Knockout","Technical Knockout","Timeout Knockout","B","medium"
"How long is a boxing round?","2 minutes","3 minutes","5 minutes","B","medium"
"What is a 'knockout' in boxing?","Winning by points","Opponent can't continue after count","Referee stops fight","B","medium"
"Who is Floyd Mayweather Jr?","Heavyweight champion","Undefeated welterweight champion","MMA fighter","B","medium"
"Who is the most decorated Olympian of all time?","Usain Bolt","Michael Phelps","Carl Lewis","B","medium"
"How many Olympic gold medals did Michael Phelps win?","18","23","28","B","medium"
"How long is an Olympic swimming pool?","25 meters","50 meters","100 meters","B","medium"
"What is the fastest swimming stroke?","Breaststroke","Freestyle/Front crawl","Backstroke","B","medium"
"How many swimming strokes are there in competitive swimming?","3","4","5","B","medium"
"What is the individual medley in swimming?","All 4 strokes","2 strokes","3 strokes","A","medium"
"What is the butterfly stroke?","Swimming on back","Arms move together over water","Side swimming","B","medium"
"Which country dominates Olympic swimming?","Australia","USA","China","B","medium"
"How many holes are in a standard round of golf?","9","18","21","B","medium"
"What is a 'birdie' in golf?","One over par","One under par","Two under par","B","medium"
"What is an 'eagle' in golf?","One under par","Two under par","Three under par","B","medium"
"What is 'par' in golf?","The expected number of strokes","A type of club","A penalty","A","medium"
"Where is the Masters Tournament held?","Augusta, Georgia","St Andrews, Scotland","Pebble Beach, California","A","medium"
"What is a 'bogey' in golf?","One under par","One over par","Two over par","B","medium"
"How many major championships are in golf?","3","4","5","B","medium"
"Who has won the most Masters titles?","Tiger Woods","Jack Nicklaus","Arnold Palmer","B","medium"
"Who is the most successful F1 driver of all time?","Michael Schumacher","Lewis Hamilton","Ayrton Senna","B","medium"
"How many F1 World Championships has Lewis Hamilton won?","5","6","7","C","medium"
"Which team has won the most F1 Constructors Championships?","Ferrari","Mercedes","McLaren","A","medium"
"What country is Max Verstappen from?","Belgium","Netherlands","Germany","B","medium"
"What does DRS stand for in F1?","Drag Reduction System","Dynamic Racing Speed","Drive Rate System","A","medium"
"How many points does an F1 race winner receive?","20","25","30","B","medium"
"What color is the Ferrari F1 car?","Blue","Red","Silver","B","medium"
"Where is the Monaco Grand Prix held?","France","Monaco","Italy","B","medium"
"How many players are on a rugby union team?","13","15","11","B","medium"
"What is a 'try' worth in rugby union?","3 points","5 points","7 points","B","medium"
"Which team is known as the 'All Blacks'?","Australia","New Zealand","South Africa","B","medium"
"Who won the 2023 Rugby World Cup?","New Zealand","South Africa","France","B","medium"
"What is the 'haka'?","A rugby move","New Zealand war dance","A type of kick","B","medium"
"What is a 'scrum' in rugby?","A type of kick","Players pushing for the ball","A scoring move","B","medium"
"What is the Six Nations?","Football tournament","Rugby tournament","Cricket series","B","medium"
"How many points is a drop goal worth?","2","3","5","B","medium"
"How often are the Summer Olympics held?","Every 2 years","Every 4 years","Every 5 years","B","easy"
"Where were the 2020 Olympics held?","Beijing","Tokyo","Paris","B","easy"
"What do the five Olympic rings represent?","Elements","Continents","Sports","B","easy"
"Where will the 2024 Olympics be held?","Los Angeles","Paris","Brisbane","B","easy"
"Which country has won the most Olympic gold medals?","China","USA","Russia","B","easy"
"What is the Olympic motto?","Faster, Higher, Stronger","Unity and Peace","Excellence Always","A","easy"
"Where did the ancient Olympics originate?","Rome","Greece","Egypt","B","easy"
"In what year were the first modern Olympics?","1896","1900","1888","A","easy"
"What does UFC stand for?","Ultimate Fighting Championship","Universal Fighting Championship","United Fighting Competition","A","medium"
"Who is Conor McGregor?","Boxer","MMA fighter","Wrestler","B","medium"
"What is a 'submission' in MMA?","A knockout","Opponent taps out","Decision win","B","medium"
"What is the 'Octagon' in UFC?","A move","The fighting ring","A weight class","B","medium"
"How many rounds in a UFC title fight?","3","5","7","B","medium"
"What is the NHL?","National Hockey League","Northern Hockey League","National Hockey League","A","medium"
"What is a 'hat trick' in hockey?","2 goals","3 goals","4 goals","B","medium"
"What is the Stanley Cup?","NHL championship trophy","Olympic hockey trophy","World Cup trophy","A","medium"
"Which team has won the most Stanley Cups?","Toronto Maple Leafs","Montreal Canadiens","Boston Bruins","B","medium"
"Who is Wayne Gretzky?","Basketball legend","Hockey legend","Football legend","B","medium"
"How many innings are in a baseball game?","7","9","11","B","medium"
"What is MLB?","Major League Basketball","Major League Baseball","Minor League Baseball","B","medium"
"What is a 'home run' in baseball?","Hitting ball out of park","Running to home plate","A catch","A","medium"
"How many strikes for a strikeout?","2","3","4","B","medium"
"Which team has won the most World Series?","Boston Red Sox","New York Yankees","Los Angeles Dodgers","B","medium"
"What is the Tour de France?","Running race","Cycling race","Swimming competition","B","medium"
"How long is the Tour de France?","About 2 weeks","About 3 weeks","About 1 month","B","medium"
"What color jersey does the Tour de France leader wear?","Green","Yellow","Red","B","medium"
"What is a 'peloton' in cycling?","A type of bike","Main group of riders","A race stage","B","medium"
"Quiz question: What was Muhammad Ali's birth name?","Cassius Clay","Michael Clay","Robert Clay","A","medium"
"Quiz question: What is the Stanley Cup?","NHL championship trophy","Olympic hockey trophy","World Cup trophy","A","medium"
"General sports: What surface is Wimbledon played on?","Clay","Grass","Hard court","B","medium"
"Sports trivia: What is the Tour de France?","Running race","Cycling race","Swimming competition","B","medium"
"Quiz question: How long is an NBA quarter?","10 minutes","12 minutes","15 minutes","B","medium"
"Quiz question: How many rounds are in a professional boxing match?","10","12","15","B","medium"
"General sports: What country is Max Verstappen from?","Belgium","Netherlands","Germany","B","medium"
"Sports trivia: Which Grand Slam is played on clay?","US Open","French Open","Australian Open","B","medium"
"Quiz question: How many Grand Slam tournaments are there?","3","4","5","B","medium"
"Sports trivia: How many innings are in a baseball game?","7","9","11","B","medium"
"General sports: What is a 'try' worth in rugby union?","3 points","5 points","7 points","B","medium"
"Quiz question: What is the fastest swimming stroke?","Breaststroke","Freestyle/Front crawl","Backstroke","B","medium"
"General sports: Who holds the women's 100m world record?","Shelly-Ann Fraser-Pryce","Florence Griffith-Joyner","Elaine Thompson","B","medium"
"Sports trivia: Where were the 2020 Olympics held?","Beijing","Tokyo","Paris","B","easy"
"General sports: Who is Floyd Mayweather Jr?","Heavyweight champion","Undefeated welterweight champion","MMA fighter","B","medium"
"General sports: Who is Conor McGregor?","Boxer","MMA fighter","Wrestler","B","medium"
"Sports trivia: What is the butterfly stroke?","Swimming on back","Arms move together over water","Side swimming","B","medium"
"Quiz question: Where did the ancient Olympics originate?","Rome","Greece","Egypt","B","easy"
"Quiz question: What is a 'century' in cricket?","50 runs","100 runs","150 runs","B","medium"
"General sports: Who is known as 'The King' in NBA?","Kobe Bryant","LeBron James","Stephen Curry","B","medium"
"Quiz question: Who is known as 'The King of Clay'?","Roger Federer","Rafael Nadal","Novak Djokovic","B","medium"
"Quiz question: Who is the most decorated Olympian of all time?","Usain Bolt","Michael Phelps","Carl Lewis","B","medium"
"Sports trivia: What is a 'century' in cricket?","50 runs","100 runs","150 runs","B","medium"
"Sports trivia: What is a 'birdie' in golf?","One over par","One under par","Two under par","B","medium"
"Sports trivia: Who is the fastest man in history?","Usain Bolt","Carl Lewis","Tyson Gay","A","medium"
"Quiz question: Who won the 2023 Rugby World Cup?","New Zealand","South Africa","France","B","medium"
